"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,          55,      -6.510907162,      -4.124133321,        -5.4347288,      -2.043376149,      -4.389895131,       2.071640984
          0,           0,          56,      -6.511278523,      -4.124697354,       -5.43487272,      -2.044207391,      -4.390007644,       2.070076468
          0,           0,          57,      -6.511650265,      -4.125261216,      -5.434935489,      -2.045000321,       -4.39011972,       2.068519068
          0,           0,          58,      -6.512021409,      -4.125824461,      -5.434904394,      -2.045807768,        -4.3902314,        2.06701467
          0,           0,          59,      -6.512392098,       -4.12638648,      -5.434773126,      -2.046540829,       -4.39034275,       2.065594629
          0,           0,          60,      -6.512762339,       -4.12694786,      -5.434609847,      -2.047273722,      -4.390453823,       2.064279531
          0,           0,          61,      -6.513129569,      -4.127508528,       -5.43432302,      -2.048081841,      -4.390564667,       2.063082395
          0,           0,          62,        -6.5134953,      -4.128068443,      -5.434014804,      -2.048911921,       -4.39067528,       2.062003735
          0,           0,          63,      -6.513860984,      -4.128627583,      -5.433706969,      -2.049736776,      -4.390785695,       2.061037499
          0,           0,          64,      -6.514226782,      -4.129185921,      -5.433404394,      -2.050555367,      -4.390895928,       2.060174848
          0,           0,          65,      -6.514592399,      -4.129743507,      -5.433121316,      -2.051373176,      -4.391006034,       2.059404035
          0,           0,          66,      -6.514958007,      -4.130300348,      -5.432873521,      -2.052189052,      -4.391123217,        2.05870923
          0,           0,          67,      -6.515323599,      -4.130856695,      -5.432674432,      -2.053003327,      -4.391272522,        2.05806983
          0,           0,          68,       -6.51568916,      -4.131412408,      -5.432539064,      -2.053819543,       -4.39142136,       2.057460261
          0,           0,          69,      -6.516054799,      -4.131967466,      -5.432477163,      -2.054636232,      -4.391569879,       2.056866609
          0,           0,          70,      -6.516420533,      -4.132521917,      -5.432496592,      -2.055456789,      -4.391718237,       2.056492515
          0,           0,          71,      -6.516786675,      -4.133075974,      -5.432597913,      -2.056279642,      -4.391866511,       2.055848233
          0,           0,          72,      -6.517153373,      -4.133629832,       -5.43278733,      -2.057047031,      -4.392014736,       2.055132927
          0,           0,          73,      -6.517520156,      -4.134182885,      -5.433014148,      -2.057840377,      -4.392162938,       2.054350178
          0,           0,          74,      -6.517887292,      -4.134735135,      -5.433303389,      -2.058682941,      -4.392311185,       2.053499927
          0,           0,          75,      -6.518254846,      -4.135286441,      -5.433700884,      -2.059453445,      -4.392459517,       2.052586334
          0,           0,          76,        -6.5186216,      -4.135836955,      -5.434105912,      -2.060241898,      -4.392607897,       2.051614253
          0,           0,          77,      -6.518987586,      -4.136386867,      -5.434543572,      -2.061055918,      -4.392756393,       2.050593197
          0,           0,          78,      -6.519353752,      -4.136936261,      -5.435021595,       -2.06187418,      -4.392905074,       2.049537269
          0,           0,          79,      -6.519720814,      -4.137485081,       -5.43551487,      -2.062681354,      -4.393054006,       2.048461789
          0,           0,          80,      -6.520088656,       -4.13803335,      -5.435998385,      -2.063479388,      -4.393203213,       2.047381612
          0,           0,          81,      -6.520456831,      -4.138581052,      -5.436454878,      -2.064274458,      -4.393352729,       2.046311297
          0,           0,          82,       -6.52082515,      -4.139128198,       -5.43687551,      -2.065070896,      -4.393502581,       2.045265294
          0,           0,          83,      -6.521193692,        -4.1396758,       -5.43725455,      -2.065871055,      -4.393692264,       2.044255826
          0,           0,          84,      -6.521562777,      -4.140223037,      -5.437591751,      -2.066682554,        -4.3938829,       2.043289921
